unique_id,cntry,idno,dweight,pspwght,pweight,anweight,agea,gndr,eisced,eduyrs,hinctnta,domicil,brncntr,rlgdgr,uemp12m,health,sclmeet,vote,polintr,lrscale,trstprl,trstlgl,trstplt,trstprt,trstplc,trstep,stfdem,stfgov,ppltrst,pplfair,pplhlp,imbgeco,imueclt,imwbcnt,imdfetn,impcntr,gincdif,happy,stflife
PL_82503,PL,82503,1.0560368,1.2950338,2.155714,2.7917225,60,2,7,25,8,3,1,10,6,2,6,1,3,9,4,3,0,0,8,1,9,4,9,8,8,5,8,6,2,2,4,8,8
PL_91165,PL,91165,1.036322,1.205355,2.155714,2.5984008,68,1,2,12,7,4,1,5,6,3,5,1,2,4,4,5,3,1,5,5,5,4,3,4,2,7,5,8,2,2,1,5,5
PL_83095,PL,83095,1.076292,0.87490654,2.155714,1.8860483,25,2,7,15,5,3,1,5,6,2,4,1,2,10,4,4,4,2,5,4,7,7,10,1,2,10,5,3,8,8,5,8,7
PL_64104,PL,64104,0.9133651,0.8257189,2.155714,1.7800138,68,2,5,16,4,1,1,2,6,3,6,1,3,5,88,5,2,2,5,8,2,2,9,8,7,9,9,9,1,1,2,8,7
PL_94454,PL,94454,1.0531778,1.0562408,2.155714,2.2769532,66,2,4,13,2,4,1,8,6,3,5,1,1,7,5,3,2,1,5,0,7,8,5,4,1,2,2,3,4,4,3,7,6
PL_61538,PL,61538,1.0443135,1.6150993,2.155714,3.4816923,65,1,3,14,8,4,1,6,6,2,4,1,2,4,6,5,7,6,4,3,5,5,5,7,6,6,5,5,3,2,3,9,8
PL_97712,PL,97712,1.1373594,0.90855074,2.155714,1.9585756,51,2,3,14,3,3,1,8,1,3,6,1,2,5,5,5,3,3,7,5,5,88,0,5,5,3,7,4,2,2,3,8,9
PL_62513,PL,62513,1.0391849,1.3280824,2.155714,2.862966,59,2,7,17,77,3,1,77,6,2,4,1,2,77,88,88,88,88,88,88,6,77,5,5,5,8,8,8,2,2,8,8,8
PL_93433,PL,93433,1.0611498,1.0011094,2.155714,2.1581056,26,1,7,20,77,4,1,8,6,1,4,1,1,8,5,5,5,8,5,5,5,4,5,5,5,0,0,4,4,4,2,10,9
PL_81923,PL,81923,1.0238348,0.9784753,2.155714,2.109313,43,1,7,16,10,1,1,0,2,2,3,1,1,5,4,5,2,2,6,3,7,88,3,6,8,9,9,7,1,1,3,8,8
PL_98101,PL,98101,0.9036303,1.0344518,2.155714,2.2299824,64,1,3,14,4,3,1,4,6,2,5,1,4,7,6,1,0,1,2,6,4,3,5,5,3,7,4,3,2,3,5,5,7
PL_85562,PL,85562,0.94154704,0.7746722,2.155714,1.6699718,84,1,2,7,2,3,1,5,6,5,2,1,4,6,5,5,5,5,5,5,6,6,5,5,0,88,88,88,8,8,8,8,8
PL_76219,PL,76219,1.1411778,1.3994433,2.155714,3.0167994,56,2,5,17,7,3,1,4,6,2,5,1,3,4,3,3,2,4,5,5,4,4,6,7,6,7,6,7,2,2,2,10,7
PL_75794,PL,75794,0.9786862,0.7608695,2.155714,1.6402171,15,2,2,8,6,3,1,9,6,1,7,3,4,88,2,2,3,4,5,5,5,88,6,8,9,7,7,8,3,3,2,8,8
PL_88825,PL,88825,1.1772765,0.6747314,2.155714,1.454528,32,2,7,18,7,3,1,1,6,2,4,1,3,5,0,3,5,1,2,5,5,1,7,6,6,4,7,5,3,3,3,7,8
PL_79241,PL,79241,1.0725025,1.5002404,2.155714,3.2340894,73,2,4,18,77,4,1,8,6,3,5,1,4,77,6,2,10,10,10,10,5,5,0,88,0,88,8,7,2,2,2,8,8
PL_66520,PL,66520,0.91131896,0.7283022,2.155714,1.5700113,38,2,7,17,5,1,1,2,2,3,2,1,3,4,3,2,2,2,6,5,3,5,5,5,3,5,5,4,2,2,3,6,2
PL_76813,PL,76813,0.97002655,1.4722934,2.155714,3.1738436,79,2,2,10,1,3,1,8,6,1,6,1,2,0,7,88,77,77,77,77,10,10,5,0,0,3,0,0,4,4,1,10,10
PL_74213,PL,74213,1.036322,0.82783973,2.155714,1.7845857,51,2,2,8,1,4,1,9,6,3,5,2,2,10,10,10,8,8,4,8,9,9,7,4,3,9,8,9,4,3,4,9,10
PL_64861,PL,64861,0.8610039,0.9837,2.155714,2.120576,74,1,4,12,10,3,1,8,6,3,3,1,1,3,7,5,4,4,4,4,5,3,6,6,8,5,6,5,2,2,2,6,5
PL_90104,PL,90104,1.0611498,0.8601281,2.155714,1.8541902,33,2,2,11,8,4,1,1,6,3,2,1,4,5,1,1,0,1,1,0,4,5,3,4,5,2,6,5,2,2,3,3,6
PL_83617,PL,83617,0.85327756,1.1346893,2.155714,2.4460657,64,2,5,16,3,3,1,6,1,3,4,1,3,6,88,5,5,5,8,88,3,4,0,5,7,8,8,5,2,2,2,7,7
PL_83032,PL,83032,1.001639,1.0045521,2.155714,2.165527,74,2,3,13,8,3,1,10,2,3,2,1,2,7,3,7,3,3,5,1,2,7,4,6,8,2,3,3,3,3,1,10,8
PL_60445,PL,60445,0.88665974,1.0826125,2.155714,2.333803,49,1,4,13,9,3,1,0,6,2,4,1,2,3,3,3,1,1,5,5,8,6,6,7,5,4,5,6,3,3,2,7,7
PL_68230,PL,68230,0.91409224,0.9709336,2.155714,2.0930552,49,2,7,17,77,1,1,4,6,2,5,1,2,2,8,8,7,8,8,8,6,8,5,5,5,5,5,5,2,3,3,8,9
PL_89589,PL,89589,0.92318326,0.8601586,2.155714,1.854256,48,1,7,18,9,1,1,8,6,1,6,1,1,7,4,4,4,3,8,3,9,7,8,8,7,8,9,8,2,2,1,8,8
PL_64741,PL,64741,1.0531778,0.8025118,2.155714,1.729986,39,1,4,13,77,4,1,6,6,1,3,1,2,9,7,7,6,6,7,5,8,8,6,1,6,6,5,5,4,3,3,10,10
PL_93444,PL,93444,1.0123581,1.1674367,2.155714,2.5166597,999,1,3,13,77,4,1,4,6,2,4,1,2,7,5,6,6,5,6,8,7,88,6,6,3,7,5,5,2,2,3,8,8
PL_51578,PL,51578,1.076292,1.2559872,2.155714,2.7075493,77,1,4,14,5,3,1,0,6,3,3,1,2,0,7,6,7,6,7,9,4,3,7,8,5,8,8,8,2,2,1,7,7
